date,price_close,price_open,price_high,price_low,price_daily_return,price_cum_return,price_cum_return_pct
2023-05-19,3475.27,3502.24,3502.24,3459.97,-0.00982688274981769,-0.007428711785400832,-0.7428711785400832
2023-05-22,3472.86,3464.67,3500.73,3460.44,-0.0006934712986328417,-0.008117031485624704,-0.8117031485624704
2023-05-23,3421.2,3475.41,3479.22,3416.01,-0.0148753476961353,-0.0228716355161509,-2.28716355161509
2023-05-24,3367.28,3414.24,3414.7,3350.4,-0.01576055185315084,-0.038271717771783065,-3.8271717771783065
2023-05-25,3308.92,3347.48,3350.8,3290.32,-0.017331496044285077,-0.054939907690898515,-5.4939907690898515
2023-05-29,3320.07,3314.71,3349.39,3314.71,0.003369679532899017,-0.05175535804048492,-5.175535804048492
2023-05-30,3310.16,3316.83,3341.33,3287.72,-0.002984876824886351,-0.054585751496592505,-5.45857514965925
2023-05-31,3250.48,3291.89,3293.64,3223.61,-0.018029339971481706,-0.07163094639674328,-7.163094639674328
2023-06-01,3251.1,3239.81,3269.11,3226.73,0.00019074105978189593,-0.07145386829959033,-7.145386829959033
2023-06-02,3299.37,3267.32,3316.81,3267.32,0.014847282458244848,-0.05766748160672375,-5.766748160672375
2023-06-05,3318.07,3306.48,3325.66,3287.21,0.005667748691416952,-0.05232657770872062,-5.232657770872063
2023-06-06,3326.63,3319.32,3372.08,3318.13,0.0025798129635601352,-0.04988175752867219,-4.988175752867219
2023-06-07,3336.82,3330.62,3349.51,3320.93,0.0030631600147896787,-0.04697139331901179,-4.6971393319011785
2023-06-08,3364.58,3343.64,3370.88,3321.01,0.008319298014276999,-0.03904286432390147,-3.904286432390147
2023-06-09,3373.71,3362.94,3382.58,3352.46,0.002713563059876689,-0.03643524653840591,-3.6435246538405908
2023-06-12,3342.31,3362.28,3362.28,3332.59,-0.009307261145741652,-0.045403395329705165,-4.540339532970517
2023-06-13,3324.44,3333.08,3333.81,3295.51,-0.005346601601886047,-0.05050724306539034,-5.050724306539034
2023-06-14,3302.38,3327.61,3339.93,3292.8,-0.006635704058427838,-0.05680779600602914,-5.680779600602914
2023-06-15,3316.99,3315.68,3322.34,3275.8,0.004424082025690446,-0.05263503632956801,-5.263503632956801
